City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,270.12,73,100,3.09,US,1697936750
1,qaqortoq,60.7167,-46.0333,273.46,53,0,2.51,GL,1697936829
2,tiksi,71.6872,128.8694,251.12,100,78,0.74,RU,1697936830
3,albany,42.6001,-73.9662,285.66,81,97,0.89,US,1697936830
4,bredasdorp,-34.5322,20.0403,286.89,90,100,5.91,ZA,1697936830
5,olonkinbyen,70.9221,-8.7187,276.2,88,17,2.8,SJ,1697936830
6,edinburgh of the seven seas,-37.0676,-12.3116,286.94,91,16,10.4,SH,1697936830
7,alta,69.9689,23.2717,274.74,85,100,1.54,NO,1697936831
8,grytviken,-54.2811,-36.5092,274.65,85,70,1.06,GS,1697936831
9,shenjiamen,29.9576,122.298,293.43,54,61,2.93,CN,1697936831
10,waitangi,-43.9535,-176.5597,282.57,63,100,10.61,NZ,1697936831
11,talnakh,69.4865,88.3972,271.6,84,100,4.83,RU,1697936832
12,uzgen,40.7699,73.3007,284.31,63,100,1.55,KG,1697936832
13,port-aux-francais,-49.35,70.2167,274.64,70,100,5.36,TF,1697936832
14,ribeira grande,38.5167,-28.7,290.8,78,100,4.92,PT,1697936832
15,kourou,5.1552,-52.6478,301.18,84,100,3.65,GF,1697936833
16,champerico,14.3,-91.9167,300.71,76,24,1.96,GT,1697936833
17,margaret river,-33.95,115.0667,288.72,88,100,5.69,AU,1697936834
18,taroa,8.7058,171.2275,301.05,81,100,7.85,MH,1697936834
19,khanty-mansiysk,61.0042,69.0019,271.21,93,40,5.0,RU,1697936834
20,alexandria,31.2156,29.9553,292.45,72,0,3.03,EG,1697936794
21,iqaluit,63.7506,-68.5145,267.98,73,95,4.02,CA,1697936835
22,touros,-5.1989,-35.4608,298.93,80,29,6.0,BR,1697936835
23,oodweyne,9.4092,45.064,294.87,59,21,1.86,SO,1697936835
24,bilibino,68.0546,166.4372,265.51,84,100,1.79,RU,1697936836
25,bucerias,20.75,-105.3333,303.14,70,75,2.57,MX,1697936654
26,ilulissat,69.2167,-51.1,270.16,63,20,5.14,GL,1697936836
27,whitehorse,60.7161,-135.0538,266.1,57,25,2.24,CA,1697936836
28,guerrero negro,27.9769,-114.0611,295.25,78,0,5.49,MX,1697936640
29,bonthe,7.5264,-12.505,298.63,87,61,1.66,SL,1697936837
30,dasnapur,19.654,78.5121,292.92,74,83,0.91,IN,1697936837
31,gavle,60.6745,17.1417,278.9,91,100,1.34,SE,1697936662
32,lebu,-37.6167,-73.65,282.88,86,0,6.67,CL,1697936837
33,jiaojiang,28.6803,121.4428,292.82,65,0,1.52,CN,1697936838
34,blackmans bay,-43.0167,147.3167,292.33,54,0,1.34,AU,1697936838
35,gifford,27.6753,-80.4092,298.14,79,75,2.06,US,1697936838
36,pacific grove,36.6177,-121.9166,292.25,76,0,2.57,US,1697936838
37,ecoporanga,-18.3733,-40.8306,294.4,87,100,2.46,BR,1697936838
38,haiku-pauwela,20.9219,-156.3051,299.4,74,75,4.12,US,1697936839
39,vila franca do campo,37.7167,-25.4333,289.75,99,100,7.33,PT,1697936839
40,chom thong,18.4174,98.6743,299.31,93,41,0.74,TH,1697936839
41,alto araguaia,-17.3147,-53.2153,299.2,55,43,1.59,BR,1697936839
42,altamirano,16.8833,-92.15,287.84,99,99,0.73,MX,1697936840
43,selkirk,50.1436,-96.8845,283.8,84,59,2.48,CA,1697936840
44,qingquan,30.4511,115.2559,290.33,51,6,1.99,CN,1697936840
45,beyneu,45.3167,55.2,286.48,91,100,8.21,KZ,1697936840
46,puerto ayora,-0.7393,-90.3518,296.91,87,64,3.47,EC,1697936542
47,mancio lima,-7.6142,-72.8958,298.13,76,16,0.45,BR,1697936841
48,queenstown,-31.8976,26.8753,284.27,92,100,4.94,ZA,1697936841
49,cidreira,-30.1811,-50.2056,291.79,88,21,10.38,BR,1697936842
50,kodiak,57.79,-152.4072,278.88,49,0,4.12,US,1697936842
51,limavady,55.0504,-6.9507,282.8,85,100,2.02,GB,1697936842
52,ixtapa,20.7,-105.2,302.72,70,75,2.57,MX,1697936842
53,hermanus,-34.4187,19.2345,287.83,86,86,8.77,ZA,1697936843
54,jolo,6.05,121.0167,303.19,64,83,0.92,PH,1697936843
55,arvayheer,46.2639,102.775,275.25,40,0,2.88,MN,1697936843
56,zacoalco de torres,20.2333,-103.5833,294.29,94,71,1.67,MX,1697936844
57,port mathurin,-19.6833,63.4167,297.38,82,3,3.67,MU,1697936844
58,ushuaia,-54.8,-68.3,273.94,96,34,2.24,AR,1697936844
59,papatowai,-46.5619,169.4708,284.24,51,36,4.74,NZ,1697936844
60,smithers,54.7804,-127.1743,273.33,100,100,2.57,CA,1697936845
61,yellowknife,62.456,-114.3525,269.49,81,25,2.68,CA,1697936845
62,bikenibeu village,1.3673,173.1241,302.13,79,75,2.06,KI,1697936845
63,dazhou,31.2159,107.5009,290.16,73,0,1.2,CN,1697936846
64,simanggang,1.2472,111.4528,298.8,92,100,0.32,MY,1697936846
65,adamstown,-25.066,-130.1015,296.25,78,15,3.72,PN,1697936846
66,hobyo,5.3505,48.5268,300.33,78,45,6.7,SO,1697936846
67,bethel,41.3712,-73.414,287.31,73,20,5.14,US,1697936710
68,ust-nera,64.5667,143.2,265.3,94,100,4.37,RU,1697936750
69,jiuquan,39.7432,98.5174,283.11,23,100,1.37,CN,1697936847
70,bereeda,11.8704,51.0579,299.5,83,94,1.95,SO,1697936847
71,vodnyy,63.5046,53.4095,272.22,84,50,5.62,RU,1697936848
72,batticaloa,7.7102,81.6924,297.99,89,100,2.55,LK,1697936848
73,oruro,-17.9833,-67.15,284.09,53,50,4.25,BO,1697936848
74,isafjordur,66.0755,-23.124,277.72,87,100,2.21,IS,1697936848
75,north bend,43.4065,-124.2243,290.29,83,100,0.81,US,1697936707
76,salinopolis,-0.6136,-47.3561,300.44,83,50,3.84,BR,1697936849
77,puerto natales,-51.7236,-72.4875,276.92,83,48,2.46,CL,1697936849
78,namie,37.4833,141.0,288.55,50,5,0.42,JP,1697936849
79,general levalle,-34.0147,-63.9241,297.94,88,100,4.02,AR,1697936849
80,hawaiian paradise park,19.5933,-154.9731,299.88,76,100,4.12,US,1697936850
81,nuku'alofa,-21.1333,-175.2,302.34,65,20,6.17,TO,1697936850
82,palikir - national government center,6.9248,158.1611,301.13,71,57,0.89,FM,1697936850
83,atafu village,-8.5421,-172.5159,302.09,73,99,3.63,TK,1697936851
84,urumqi,43.801,87.6005,284.68,35,0,4.0,CN,1697936851
85,sailana,23.4667,74.9167,295.13,59,0,1.5,IN,1697936851
86,anadyr,64.75,177.4833,276.43,100,75,9.0,RU,1697936851
87,thunder bay,48.4001,-89.3168,275.1,87,20,1.03,CA,1697936852
88,knyaze-volkonskoye,48.4642,135.4567,275.34,32,0,7.77,RU,1697936852
89,stanley,54.868,-1.6985,276.32,100,0,1.03,GB,1697936852
90,kimbe,-5.5502,150.1429,302.38,76,55,0.36,PG,1697936852
91,port alfred,-33.5906,26.891,287.14,96,100,6.57,ZA,1697936853
92,mogadishu,2.0371,45.3438,299.04,86,100,3.99,SO,1697936853
93,robore,-18.3333,-59.75,304.73,34,74,1.65,BO,1697936853
94,dzerzhinskoye,56.8344,95.2283,276.56,72,66,7.89,RU,1697936854
95,zheleznogorsk-ilimskiy,56.5768,104.1217,276.89,84,100,3.23,RU,1697936854
96,kavaratti,10.5669,72.642,301.37,72,90,2.08,IN,1697936752
97,alice springs,-23.7,133.8833,297.9,20,0,6.17,AU,1697936557
98,imbituba,-28.24,-48.6703,291.92,87,64,6.04,BR,1697936855
99,avarua,-21.2078,-159.775,299.18,83,75,6.17,CK,1697936855
100,zhaotong,27.3167,103.7167,282.77,81,98,0.32,CN,1697936832
101,torremolinos,36.6204,-4.4998,291.84,71,0,0.0,ES,1697936855
102,keningau,5.3378,116.1602,300.02,82,39,0.66,MY,1697936856
103,polyarnyy,69.1989,33.4478,273.14,87,100,6.66,RU,1697936856
104,guane,22.2025,-84.0875,295.94,79,5,2.55,CU,1697936857
105,sola,-13.8833,167.55,298.52,94,100,0.0,VU,1697936857
106,as sulayyil,20.4607,45.5779,297.29,28,5,2.91,SA,1697936858
107,merizo village,13.2658,144.6691,303.47,87,100,8.04,GU,1697936858
108,malibu,34.005,-118.8101,299.64,74,0,2.68,US,1697936858
109,kalaoa,19.7286,-155.9817,298.56,93,40,5.66,US,1697936859
110,pisco,-13.7,-76.2167,292.18,88,0,7.2,PE,1697936859
111,danilovka,50.3557,44.1168,274.91,82,13,2.93,RU,1697936859
112,baruun-urt,46.6806,113.2792,279.34,39,0,2.63,MN,1697936860
113,santa marta,11.2408,-74.199,301.42,85,40,3.6,CO,1697936860
114,chake chake,-5.2459,39.7666,297.65,83,27,2.44,TZ,1697936860
115,chonchi,-42.6128,-73.8092,283.71,90,6,2.01,CL,1697936861
116,san patricio,28.017,-97.5169,300.07,73,100,4.56,US,1697936861
117,uturoa,-16.7333,-151.4333,299.53,79,4,3.96,PF,1697936861
118,villa gesell,-37.2639,-56.973,287.02,92,100,6.34,AR,1697936861
119,puerto san jose,13.9256,-90.8244,300.11,80,100,2.88,GT,1697936862
120,bandarbeyla,9.4942,50.8122,299.96,80,100,2.43,SO,1697936862
121,port saint john's,-31.6229,29.5448,291.34,89,100,8.46,ZA,1697936862
122,tofol,5.3248,163.0078,304.03,74,75,2.06,FM,1697936862
123,luderitz,-26.6481,15.1594,288.04,83,9,2.45,,1697936863
124,tromso,69.6496,18.957,276.16,87,100,3.6,NO,1697936863
125,kargasok,59.0556,80.8572,273.32,91,100,6.72,RU,1697936863
126,afif,23.9065,42.9172,294.76,34,4,4.7,SA,1697936864
127,westport,41.1415,-73.3579,288.46,73,20,5.14,US,1697936792
128,moscow,55.7522,37.6156,272.64,74,100,1.4,RU,1697937042
129,dakhla,23.6848,-15.958,295.2,87,0,4.52,EH,1697936864
130,inhambane,-23.865,35.3833,295.55,71,0,5.28,MZ,1697936865
131,kuanda,56.3161,116.0806,272.7,64,82,0.51,RU,1697936865
132,balkashino,52.5167,68.7667,275.21,85,100,5.9,KZ,1697936865
133,valparaiso,-33.0393,-71.6273,286.95,82,75,2.06,CL,1697936865
134,hamilton,39.1834,-84.5333,292.28,57,0,8.94,US,1697936866
135,manokwari,-0.8667,134.0833,300.98,75,100,1.28,ID,1697936866
136,gornyye klyuchi,45.25,133.5,276.62,78,100,5.8,RU,1697936866
137,ancud,-41.8697,-73.8203,281.4,82,0,1.06,CL,1697936866
138,kulhudhuffushi,6.6221,73.07,301.09,73,63,1.72,MV,1697936866
139,kristiansund,63.1115,7.732,280.18,52,83,3.09,NO,1697936867
140,fort bragg,35.139,-79.006,288.79,70,0,0.45,US,1697936867
141,codrington,-38.2667,141.9667,285.43,82,100,11.52,AU,1697936867
142,kenai,60.5544,-151.2583,274.87,43,0,3.6,US,1697936868
143,gobabis,-22.45,18.9667,289.77,12,0,3.02,,1697936684
144,la gi,10.6667,107.7833,300.08,80,85,1.41,VN,1697936868
145,vorgashor,67.5833,63.95,268.75,76,49,11.37,RU,1697936868
146,edinboro,41.8742,-80.1317,282.31,91,100,1.34,US,1697936869
147,vilyuchinsk,52.9306,158.4028,284.3,52,8,4.27,RU,1697936869
148,kiunga,-6.1219,141.2906,299.45,79,100,0.64,PG,1697936869
149,luanda,-8.8368,13.2343,297.05,83,81,4.24,AO,1697936869
150,ilhabela,-23.7781,-45.3581,293.04,91,95,3.25,BR,1697936632
151,broome,42.2506,-75.833,284.1,94,100,6.17,US,1697936870
152,thompson,55.7435,-97.8558,273.24,86,20,1.03,CA,1697936724
153,brisas de zicatela,15.8369,-97.0419,301.44,61,20,0.0,MX,1697936870
154,tazovsky,67.4667,78.7,269.71,89,8,5.8,RU,1697936870
155,changsha,28.2,112.9667,292.34,42,0,0.7,CN,1697936871
156,kruisfontein,-34.0033,24.7314,286.32,84,100,4.01,ZA,1697936871
157,tura,25.5198,90.2201,292.92,86,0,1.41,IN,1697936871
158,fonte boa,-2.4959,-66.2662,296.62,97,100,2.73,BR,1697936701
159,lompoc,34.6391,-120.4579,294.83,76,0,5.81,US,1697936859
160,margate,51.3813,1.3862,282.54,96,52,0.45,GB,1697936872
161,jiazi,22.8779,116.067,293.82,87,97,4.66,CN,1697936872
162,mirny,62.5353,113.9611,272.13,85,100,1.54,RU,1697936873
163,port blair,11.6667,92.75,298.17,94,75,1.03,IN,1697936873
164,murrells inlet,33.551,-79.0414,290.18,59,0,2.57,US,1697936873
165,marivan,35.5219,46.176,284.67,59,95,1.27,IR,1697936873
166,shanwei,22.782,115.3475,293.36,87,100,3.68,CN,1697936874
167,castelli,-25.9468,-60.6195,307.0,38,42,5.95,AR,1697936874
168,chibougamau,49.9168,-74.3659,276.15,95,100,7.05,CA,1697936874
169,gerrards cross,51.5861,-0.5554,282.28,94,100,3.09,GB,1697936874
170,punta arenas,-53.15,-70.9167,278.21,75,75,8.23,CL,1697936579
171,jamestown,42.097,-79.2353,282.92,99,100,4.12,US,1697936875
172,surte,57.8167,12.0167,279.31,93,100,4.38,SE,1697936875
173,afaahiti,-17.75,-149.2833,300.08,81,0,5.35,PF,1697936875
174,richards bay,-28.783,32.0377,293.12,90,100,7.27,ZA,1697936875
175,kirensk,57.7853,108.1119,275.63,71,100,1.87,RU,1697936876
176,invercargill,-46.4,168.35,283.72,66,37,4.02,NZ,1697936876
177,urangan,-25.3,152.9,295.88,68,0,4.9,AU,1697936876
178,colchani,-20.3,-66.9333,284.57,65,96,10.15,BO,1697936876
179,hadibu,12.65,54.0333,299.46,89,100,8.68,YE,1697936877
180,longyearbyen,78.2186,15.6401,264.06,73,0,1.54,SJ,1697936877
181,catabola,-12.15,17.2833,292.06,69,97,1.34,AO,1697936877
182,santyoku,37.4406,129.1708,288.1,37,1,3.12,KR,1697936877
183,tual,-5.6667,132.75,300.1,82,98,5.68,ID,1697936877
184,humaita,-7.5061,-63.0208,305.43,32,100,1.14,BR,1697936664
185,nishinoomote,30.7333,131.0,292.4,46,0,0.43,JP,1697936878
186,remire-montjoly,4.9167,-52.2667,301.17,83,0,2.57,GF,1697936878
187,celestun,20.8667,-90.4,298.94,69,57,5.55,MX,1697936879
188,labrador city,52.9463,-66.9114,275.47,77,100,5.27,CA,1697936879
189,at taj,24.2049,23.2857,293.09,27,0,3.39,LY,1697936879
190,ogulin,45.2661,15.2286,286.26,93,98,2.2,HR,1697936880
191,farmington,36.7281,-108.2187,296.53,12,0,2.06,US,1697936602
192,mili,6.0815,171.735,301.82,77,100,6.7,MH,1697936880
193,chinchilla,-26.75,150.6333,304.21,28,6,7.87,AU,1697936880
194,lihue,21.9789,-159.3672,301.73,76,75,3.6,US,1697936881
195,zag,46.9441,99.165,272.89,54,7,1.2,MN,1697936881
196,wauchope,-31.45,152.7333,310.18,15,20,2.96,AU,1697936881
197,udachny,66.4167,112.4,260.19,97,20,1.49,RU,1697936739
198,argostolion,38.1811,20.489,294.12,65,82,9.08,GR,1697936882
199,north platte,41.1239,-100.7654,288.77,55,0,4.92,US,1697936882
200,znamenskoye,57.1281,73.8282,274.2,98,100,3.82,RU,1697936882
201,waingapu,-9.6567,120.2641,302.57,61,100,4.05,ID,1697936882
202,undurkhaan,47.3194,110.6556,278.4,38,0,2.65,MN,1697936883
203,dudinka,69.4058,86.1778,271.83,89,100,7.56,RU,1697936883
204,thane,19.2,72.9667,302.1,70,99,2.06,IN,1697937248
205,olinda,-8.0089,-34.8553,300.0,78,75,3.6,BR,1697936883
206,bubaque,11.2833,-15.8333,300.93,81,30,5.12,GW,1697936884
207,puerto la cruz,10.2167,-64.6167,299.4,86,100,2.92,VE,1697936695
208,vadso,70.0744,29.7487,274.24,80,100,4.12,NO,1697936884
209,howrah,22.5892,88.3103,298.15,83,40,3.6,IN,1697936884
210,monte santo,-10.4378,-39.3328,294.72,69,47,4.49,BR,1697936885
211,yelizovo,53.1873,158.3805,284.23,50,20,4.02,RU,1697936885
212,cooma,-36.2333,149.1333,291.13,28,0,6.87,AU,1697936885
213,wailua homesteads,22.0669,-159.378,301.39,77,75,3.6,US,1697936885
214,tukrah,32.5341,20.5791,298.55,35,6,8.24,LY,1697936885
215,hauterive,46.0901,3.4459,283.57,82,4,3.01,FR,1697936886
216,mahanoro,-19.9,48.8,295.09,91,66,1.56,MG,1697936886
217,nemuro,43.3236,145.575,281.52,63,2,7.66,JP,1697936886
218,mutoko,-17.397,32.2268,294.48,54,100,0.84,ZW,1697936886
219,dubbo,-32.25,148.6167,295.22,28,0,5.66,AU,1697936774
220,castillos,-34.1667,-53.8333,288.8,89,7,4.99,UY,1697936887
221,aasiaat,68.7098,-52.8699,268.92,94,100,2.83,GL,1697936887
222,iskateley,67.6803,53.1512,272.98,85,99,10.33,RU,1697936887
223,shimokizukuri,40.8061,140.3861,284.55,71,100,8.39,JP,1697936887
224,petropavlovsk-kamchatsky,53.0452,158.6483,283.48,50,20,4.0,RU,1697936888
225,karachi,24.9056,67.0822,297.05,88,3,0.0,PK,1697936647
226,toliara,-23.35,43.6667,295.57,75,0,2.77,MG,1697936888
227,anchorage,61.2181,-149.9003,272.95,52,0,2.24,US,1697936734
228,ola,59.5833,151.2833,277.56,77,67,7.14,RU,1697936889
229,georgetown,5.4112,100.3354,300.34,83,20,1.54,MY,1697936829
230,tuy hoa,13.0833,109.3,299.54,85,55,2.89,VN,1697936889
231,saipan,15.1355,145.701,304.54,70,20,7.72,MP,1697936889
232,catalca,41.1432,28.4615,292.57,70,0,2.26,TR,1697936890
233,al awjam,26.5632,49.9433,298.2,88,3,1.54,SA,1697936890
234,kiama,-34.6833,150.8667,300.51,33,66,5.81,AU,1697936890
235,kalifornsky,60.4183,-151.29,275.01,41,0,3.6,US,1697936890
236,nova sintra,14.8667,-24.7167,297.44,73,16,1.88,CV,1697936890
237,el granada,37.5027,-122.4694,293.1,75,0,5.66,US,1697936891
238,walvis bay,-22.9575,14.5053,287.64,90,0,1.53,,1697936891
239,hayvoron,48.3396,29.8679,290.12,60,0,2.98,UA,1697936891
240,vilyuysk,63.7553,121.6247,271.28,90,100,2.65,RU,1697936891
241,hithadhoo,-0.6,73.0833,300.46,78,15,7.2,MV,1697936892
242,jalai nur,49.45,117.7,279.18,46,11,1.65,CN,1697936892
243,onguday,50.75,86.15,279.04,94,100,0.55,RU,1697936892
244,san antonio de pale,-1.4014,5.6325,298.43,85,100,5.58,GQ,1697936892
245,lata,40.1629,-8.3327,287.08,89,100,1.54,PT,1697936893
246,narasannapeta,18.4167,84.05,296.13,80,97,2.82,IN,1697936893
247,saint-leu,-21.15,55.2833,295.9,96,26,3.94,RE,1697936893
248,mozarlandia,-14.7447,-50.5706,300.14,63,46,1.09,BR,1697936893
249,sitka,57.0531,-135.33,281.09,71,20,8.23,US,1697936894
250,port lincoln,-34.7333,135.8667,288.48,52,19,5.36,AU,1697936894
251,oradea,47.0667,21.9333,295.17,53,75,6.17,RO,1697936894
252,la sarre,48.8002,-79.1996,276.64,79,100,6.91,CA,1697936781
253,albertina,-22.2008,-46.6158,291.69,80,0,2.32,BR,1697936895
254,qurayyat,31.3318,37.3428,295.25,28,0,2.06,SA,1697936895
255,calabozo,8.9242,-67.4293,298.7,88,100,1.39,VE,1697936895
256,soio,-6.1349,12.3689,298.1,88,100,4.2,AO,1697936677
257,el burgo de osma,41.5862,-3.0652,279.72,77,99,1.79,ES,1697936895
258,redencao,-4.2258,-38.7306,297.79,89,93,2.48,BR,1697936896
259,ajaccio,42.0,8.9167,289.18,88,20,2.06,FR,1697936896
260,west island,-12.1568,96.8225,299.14,73,40,5.66,CC,1697936896
261,paita,-5.0892,-81.1144,293.85,85,67,6.07,PE,1697936896
262,shache,38.4167,77.2406,282.43,26,53,0.49,CN,1697936897
263,lucapa,-8.4192,20.7447,291.85,92,16,0.76,AO,1697936676
264,guatrache,-37.6678,-63.5302,287.57,93,70,3.35,AR,1697936897
265,cabo san lucas,22.8909,-109.9124,299.13,96,100,21.62,MX,1697936730
266,juneau,58.3019,-134.4197,277.16,82,75,2.57,US,1697936897
267,fang,19.9169,99.2145,295.69,96,30,0.51,TH,1697936898
268,utrik,11.2278,169.8474,300.9,80,100,9.22,MH,1697936898
269,zvecka,44.6389,20.1647,292.54,54,100,6.14,RS,1697936898
270,koungou,-12.7336,45.2042,299.99,83,75,4.12,YT,1697936898
271,badger,64.8,-147.5333,270.08,73,100,3.09,US,1697936898
272,mao,39.8885,4.2658,291.46,59,0,1.54,ES,1697936899
273,plastun,44.7561,136.2939,279.94,43,35,4.2,RU,1697936899
274,geraldton,-28.7667,114.6,295.38,73,24,6.17,AU,1697936899
275,takoradi,4.8845,-1.7554,298.11,90,8,3.05,GH,1697936899
276,hafar al-batin,28.4328,45.9708,294.47,40,0,2.06,SA,1697936900
277,saldanha,-33.0117,17.9442,288.39,80,7,4.49,ZA,1697936900
278,khawr fakkan,25.3313,56.342,302.18,83,0,2.07,AE,1697936900
279,kalmunai,7.4167,81.8167,297.9,90,100,3.05,LK,1697936900
280,minas de marcona,-15.2119,-75.1103,288.64,91,100,4.33,PE,1697936901
281,tamanrasset,22.785,5.5228,296.06,19,100,0.16,DZ,1697936901
282,bougouni,11.417,-7.479,296.13,87,20,2.28,ML,1697936901
283,puerto baquerizo moreno,-0.9,-89.6,296.76,87,100,5.05,EC,1697936901
284,saint-philippe,-21.3585,55.7679,293.92,82,26,3.11,RE,1697936902
285,bethanie,-26.4833,17.15,289.0,33,0,0.66,,1697936902
286,pontarlier,46.8333,6.25,281.45,89,10,3.49,FR,1697936902
287,port elizabeth,-33.918,25.5701,287.31,83,0,3.6,ZA,1697936633
288,akureyri,65.6835,-18.0878,273.93,93,100,1.27,IS,1697936903
289,zouerate,22.7187,-12.4521,297.52,49,0,4.28,MR,1697936903
290,aljezur,37.3191,-8.8033,289.71,82,100,3.28,PT,1697936903
291,horki,54.2861,30.9842,277.77,85,100,6.21,BY,1697936904
292,half moon bay,37.4636,-122.4286,293.08,73,0,5.66,US,1697936904
293,aldinga beach,-35.2793,138.4604,291.35,52,16,6.78,AU,1697936904
294,nadym,65.5333,72.5167,271.29,85,93,8.61,RU,1697936904
295,vryburg,-26.9566,24.7284,287.72,67,0,2.73,ZA,1697936905
